MissionID,Algorithm,DroneCount,Deadline,IgnoredRegions,TotalScore,Completeness,TimeEfficiency,CoverageScore,RedundantPenalty,LatestDetTime,AvgDetTime,MedDetTime,FiresDetected,TotalFires,TotalDetections,AreaCoverage
1,TMSTC_STAR,0,600.0,6,25.36,25.0,4.48,4.02,-8.14,600.0,475.68,586.69,5,10,89,40.2
2,,0,0,0,0.27,0.0,0.0,0.27,-0.0,600.0,600.0,600.0,0,10,0,2.7
3,,0,0,0,13.24,20.83,0.0,2.4,-10.0,580.34,330.45,311.93,5,12,105,24.03
4,,0,0,0,0.0,3.12,0.64,1.66,-10.0,600.0,580.8,600.0,1,16,295,16.63
5,,0,0,0,14.59,21.88,0.0,2.0,-9.28,526.94,331.59,321.56,7,16,191,19.95
6,,0,0,0,38.37,34.38,11.41,2.29,-9.7,600.0,393.93,418.53,11,16,397,22.93
7,,0,0,0,17.12,25.0,0.0,1.91,-9.79,468.68,325.2,349.01,8,16,318,19.1
8,,0,0,0,19.18,25.0,0.0,2.38,-8.2,525.82,315.43,306.34,8,16,145,23.77
9,,0,0,0,23.55,25.0,4.97,2.23,-8.65,600.0,478.57,563.25,8,16,168,22.31
10,,0,0,0,23.39,31.25,0.0,1.95,-9.81,511.92,301.87,264.5,10,16,408,19.51
11,,0,0,0,20.59,28.12,0.0,2.09,-9.63,567.81,313.54,246.7,9,16,306,20.92
12,,0,0,0,14.26,18.75,4.02,1.48,-9.98,600.0,479.41,600.0,6,16,393,14.76
13,,0,0,0,16.98,25.0,0.0,1.9,-9.92,547.01,300.93,263.38,8,16,394,19.01
14,,0,0,0,21.55,28.12,0.0,2.4,-8.97,590.34,328.03,316.5,9,16,214,24.01
15,,0,0,0,9.96,12.5,3.19,2.65,-8.37,600.0,504.33,600.0,6,24,115,26.46
16,,0,0,0,16.15,19.23,4.97,1.87,-9.92,600.0,450.79,600.0,10,26,494,18.68
17,,0,0,0,0.0,4.46,1.24,1.73,-9.18,600.0,562.85,600.0,5,56,130,17.27
18,,0,0,0,15.38,18.33,3.72,2.42,-9.09,600.0,488.4,600.0,22,60,550,24.16
19,TMSTC_STAR,0,600.0,6,20.51,20.0,5.48,3.64,-8.61,600.0,435.72,600.0,4,10,83,36.41
20,TMSTC_STAR,3,600.0,6,27.61,25.0,8.39,3.62,-9.4,600.0,395.85,536.51,5,10,146,36.18
21,TMSTC_STAR,3,600.0,6,13.59,15.0,3.18,4.22,-8.82,600.0,504.66,600.0,3,10,67,42.24
22,TMSTC_STAR,3,600.0,6,9.81,10.0,2.48,3.66,-6.32,600.0,525.68,600.0,2,10,22,36.59
